Station,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sep.,Oct.,Nov.,Dec.
Dhaka,24,27.4,32.2,33.8,33.3,33.3,33,32.9,33.5,33.1,30.7,25
Tangail,23.2,26.5,31.5,33.1,33,33.5,33.1,33.8,33.6,33,30.4,24.9
Mymensingh,23.4,26.3,30.3,31.4,32,32.6,32,33,32.1,32.8,30.1,24.7
Faridpur,23.8,27.1,32.4,34.1,32.9,33.1,32.9,32.7,33.1,33.3,30.5,25.2
Madaripur,23.7,27.1,32,33.9,33.5,*,*,*,*,*,*,*
Srimangal,23.6,27.5,31.9,32.8,32..4,32.8,33,33.9,33,33.2,30.6,26.3
Sylhet,24.7,28.1,31.8,32.8,31.5,32.1,31.9,33.7,31.9,32.6,30.3,26.6
Bogura,23.5,26.7,30.7,32.2,32,33.3,32.4,33.6,32.6,33,30.5,24.8
Dinajpur,22.4,25.9,29.6,31.3,31.6,33.1,31.9,34,31.8,33.6,29.7,24.9
Ishwardi,23.2,26.4,31.4,34.1,33.6,34.1,33.8,33.8,33.5,33.2,29.9,25
Rajshahi,23.3,26.7,31.6,34.5,33.7,34.7,33.8,34.4,34,33.6,30.2,25.1
Rangpur,22.5,26,29.8,31.3,31.5,32.9,32,34.1,31.4,33.1,29.4,25.1
Syedpur,23,26.6,30.3,31.6,31.9,33.1,31.9,34.2,31.9,33.7,29.6,25.7
chuadanga,23.6,26.5,31.9,34.6,33.5,34.2,33.9,33.5,34,33.4,30.1,25
Jashore,24.8,27.4,32.5,34.9,34.5,34.4,34.5,33.4,34,33.5,30.6,26.5
Khulna,24,26.9,32.2,34.4,34.1,33.5,33.2,32.7,33.4,32.9,30.5,25.9
Mongla,24.4,27.4,32.9,34.7,33.9,33,33,32.4,33.1,32.7,30.2,26
Satkhira,24.3,27.3,31.9,34.3,33.9,33.4,33.4,32.7,33.1,33,33,25.7
Barishal,24.8,27.9,32.5,33.6,33.6,32.6,32.6,32.1,33.1,32.8,30.5,26.6
Bhola,24.5,27.7,32.2,32.8,33.4,32.3,32.4,31.7,32.9,33,30.6,26.4
Khepupara,25.3,28.1,32.6,33.2,33.7,32.4,32.7,31.7,32.8,32.7,29.6,25.7
Patuakhali,25.2,28.1,32.9,33.9,34,32.4,32.3,31.6,33,32.4,29.8,26.4
Chandpur,24.4,28,32.5,33.3,33.7,33,32.8,32.4,33.4,33.5,31,26.3
Ambagan(Ctg,26.4,28.1,32.7,32.7,33.2,32.2,31.7,31.8,32.4,33.4,31.6,28
Chittagong,25.3,27.2,31.7,32.7,33.1,32.6,32,31.9,32.8,33,31,27.3
Cumilla,23.9,26.8,31.3,32.1,32.5,31.8,31.6,32.1,32.6,33,30.5,26.4
Cox's Bazar,26.4,28.3,32.7,33,33.2,31.5,31.1,30.7,32.4,32.7,31.2,28
Feni,24.8,27.8,32.4,33.1,33.3,32.5,32.2,32.6,32.9,33,30.8,*
Hatiya,24.5,27.2,31.7,32.5,32.9,31.6,31.3,30.6,31.8,32.3,30.1,26.3
Kutubdia,25.3,26.9,30.9,32.5,32.6,32,31.6,31.1,32.5,32.8,30.6,27.2
M.court,24.3,27.3,32,33.4,33.7,32.7,32.4,32,32.8,32.7,30.1,26
Rangamati,25.2,27.9,32.9,34.5,33.5,32.7,32.1,32.4,33,33.6,30.2,26.8
Sandwip,25.2,27.7,32.3,32.5,33,31.9,31.7,31.6,32.7,33.3,31,27.1
Sitakundu,26,28.3,33.1,33.1,33.5,32.5,32.2,32.5,31.8,32.6,31.7,28.2
Teknaf,27.6,28.8,32.2,33.2,33.3,*,*,*,*,*,*,*