Sl no,Name of Comodity,Unnamed: 2,Year-2019,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,30,Imported,red,-,-.1,-.2,-.3,-.4,-.5,-.6,-.7,"2,850","2,650","2,708","2,892","2,775",65,khail,Mustard,3350,3349,"3,318",3280,"3,283","3,309","3,312","3,531","3,329","3,352","3,344","3,343","3,342",102,",,","Bangle-6 ,,",-.8,-.9,-.10,-.11,-.12,Unnamed: 0,milk,Unnamed: 3,163,Hilsha,"58,300","57,161","61,531","68,344","68,737","72,220","75,430","68,961","66,429","67,013","61,616","62,154","65,658",198,Amra,"2,012","2,410","2,539","2,976","3,106","2,967","2,668",232,Sosha,"2,106","2,584","2,451","2,486","2,201","2,090","3,638","3,893","2,969","2,588","4,056","3,986","2,921"
,,,January,February,March,April,May,June,July,August,September,October,November,December,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,"Paddy
Aman",Fine,"2,012","1,946","1,833","1,907","1,895","1,852","2,040","2,040","2,040","2,040","1,988","2,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"1,966",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,",,",Medium,"1,828","1,806","1,747","1,741","1,684","1,680","1,730","1,730","1,730","1,442","1,657","1,673","1,704",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0,",,",Coarse,"1,693","1,650","1,595","1,569","1,522","1,495","1,582","1,580","1,493","1,334","1,509","1,515","1,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0,",,",Pajam,"2,234","2,295","2,204","2,217","2,207","2,187",-,-,-,-,"2,169","2,194","2,213",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.0,‘’,shugandhi,"4,071","4,412","4,224","4,289","4,740","4,600","3,675","3,713","3,750","3,750","3,763","3,809","4,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Paddy Aus,medium,-,-,-,-,-,-,-,"1,418","1,431","1,455","1,474",-,"1,444",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,",,:",coarse,-,"1,606",-,"1,538","1,550","1,450",-,"1,432","1,361","1,362","1,420",-,"1,465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.0,",,",pajam,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Paddy Boro,fine,"2,436","2,438","2,446","2,265","1,850","1,857","1,830","1,873","1,863","1,888","2,133","2,219","2,092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,",,",medium,"2,016","2,009","2,005","1,820","1,585","1,613","1,624","1,639","1,623","1,643","1,800","1,850","1,769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,‘’,coarse,"1,742","1,741","1,746","1,563","1,356","1,424","1,427","1,421","1,394","1,376","1,429","1,510","1,511",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,",,",pajam,-,-,-,-,"1,683","1,809","1,800","2,065","2,340","1,688","1,767",-,"1,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Rice Aman,fine,"5,015","4,967","4,947","4,922","4,814","4,802","4,733","4,769","4,818","4,763","4,834","4,822","4,850",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,",,",medium,"3,587","3,540","3,428","3,395","3,356","3,298","3,262","3,285","3,276","3,252","3,331","3,293","3,359",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,",,",coarse,"3,032","2,906","2,817","2,752","2,738","2,739","2,706","2,702","2,691","2,640","2,694","2,681","2,758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,",,",pajam,"4,801","4,672","4,682","4,676","4,698","4,723","4,634","4,588","4,579","4,524","4,445","4,336","4,613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Rice Aus,Medium,-,-,-,-,-,-,-,-,"2,650","2,625",-,-,"2,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,",,",coarse,"2,928","2,806","2,703","2,678","2,643","2,620","2,790","2,733","2,579","2,565","2,563","2,613","2,685",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.0,",,",Pajam,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.0,Rice boro,fine,"4,863","4,813","4,768","4,721","4,587","4,452","4,359","4,363","4,316","4,263","4,445","4,544","4,541",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.0,",,",medium,"3,806","3,776","3,696","3,655","3,478","3,383","3,363","3,341","3,315","3,258","3,355","3,425","3,488",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.0,",,",coarse,"3,080","2,995","2,869","2,813","2,740","2,660","2,656","2,651","2,641","2,575","2,602","2,658",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.0,",,",pajam,"5,128","5,017","5,021","5,022","4,847","4,750","4,768","4,663","4,754","4,494","4,576","4,360",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.0,Rice OMS,course,"3,099","3,042","3,019","3,014","2,991","2,986","2,994","2,970","2,880","2,784","2,752","2,689",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.0,"Aromatic
rice",Chinigura,"8,151","8,140","8,171","8,211","8,449","8,597","8,656","8,701","8,763","8,784","8,823","8,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,,Kalojira,"7,783","7,755","7,854","7,897","7,987","8,116","8,165","8,166","8,174","8,276","8,358","8,352",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,,kataribhog,"6,253","6,281","6,295","6,284","6,324","6,365","6,455","6,512","6,392","6,373","6,337","6,394",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.0,Wheat local,red,"2,462","2,511","2,583","2,378","2,417","2,389","2,424","2,424","2,475","2,498","2,505","2,481",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.0,",,",white,"2,552","2,549","2,479","2,346","2,396","2,397","2,459","2,486","2,518","2,548","2,571","2,574","2,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,31.0,",,",white,"2,517","2,540","2,537","2,491","2,474","2,440","2,480","2,529","2,551","2,592","2,551","2,625","2,527",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,32.0,Ata,loose,"2,563","2,563","2,556","2,500","2,431","2,409","2,405","2,421","2,470","2,469","2,493","2,509","2,483",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,33.0,",,",Packet,"2,999","3,014","3,003","2,993","2,993","2,979","2,981","2,984","2,992","2,990","2,994","2,985","2,992",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,34.0,flour,loose,"3,206","3,196","3,189","3,155","3,128","3,118","3,106","3,110","3,118","3,103","3,153","3,234","3,151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,35.0,",,",packet,"4,056","4,020","4,038","4,043","4,010","4,062","4,058","4,057","4,072","4,080","4,082","4,112","4,057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,36.0,Maize,-,"1,882","1,888","1,881","1,734","1,665","1,583","1,595","1,710","1,785","1,813","1,849","1,934","1,777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,37.0,Kalai,mash,5604,5534,"5,505",5661,"5,748","5,881","6,055","6,059","6,172","6,285","6,563","6,875","5,995",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,38.0,",,",mashur,4880,5158,"5,218",5392,"5,761","5,987","6,146","6,195","6,425","6,306","6,297","6,328","5,841",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,39.0,",,",mug,7346,7461,"7,461",7525,"7,463","7,311","7,603","7,692","7,833","7,756","7,880","8,088","7,618",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,40.0,",,",Chola,6711,6866,"6,898",6938,"7,021","6,931","6,867","6,722","6,574","6,571","6,616","6,659","6,781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,41.0,",,",Motor local,3034,3388,"3,307",3411,"3,497","3,476","3,346","3,392","3,382","3,446","3,414","3,408","3,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,42.0,",,",Motor foreign,3034,3388,"3,307",3411,"3,497","3,476","3,346","3,392","3,382","3,446","3,414","3,408","3,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,43.0,",,",kheshari,3004,3043,"3,081",3227,"3,568","3,573","3,657","3,649","3,554","3,674","3,875","3,880","3,482",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,44.0,Dal,Mash gota,7062,7230,"7,211",7279,"7,391","7,407","7,492","7,767","7,873","7,739","8,023","8,349","7,569",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,45.0,",,",Broken,7248,7251,"7,203",7251,"7,523","7,600","7,658","7,860","7,870","7,948","8,389","8,870","7,722",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,46.0,",,","Mashur local
gota",8133,8272,"8,385",8411,"8,784","9,043","9,312","9,476","9,466","9,518","9,923","9,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,47.0,",,",Mashur broken,6069,6204,"6,163",6198,"6,346","6,402","6,337","6,486","6,682","6,286","6,283","6,428","6,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,48.0,",,",Mashur foreign,7413,7510,"7,565",7458,"7,764","7,827","8,069","7,895","7,797","8,187","8,339","8,465","7,857",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,49.0,",,",Mug local,10040,10242,"10,068",10039,"10,111","10,117","10,300","10,339","10,574","10,825","11,084","11,715","10,454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,50.0,",,",Chola gota,7292,7543,"7,563",7713,"7,682","7,707","7,592","7,698","7,536","7,380","7,408","7,430","7,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,51.0,",,",Chola broken,7403,7638,"7,627",7643,"7,764","7,800","7,668","7,547","7,452","7,328","7,383","7,288","7,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,52.0,",,",Motor local,4744,5014,"5,010",5091,"5,264","5,442","5,663","5,328","5,316","5,372","5,495","5,386","5,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,53.0,",,",Motor foreign,3614,3661,"3,573",3573,"3,543","3,502","3,451","3,380","3,357","3,426","3,431","3,368","3,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,54.0,",,",kheshari,4342,4425,"4,427",4629,"5,133","5,144","5,085","5,131","5,126","5,440","5,690","6,003","5,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,55.0,Oil seed,Mustard,5160,4930,"4,706",4670,"4,735","5,042","4,817","4,844","4,824","4,885","4,919","4,958","4,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,56.0,",,",Tishi,5850,5667,"5,373",5321,"5,894","5,902","6,009","6,016","6,000","5,969","6,027","6,104","5,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,57.0,",,",Til,5422,5450,"5,785",5156,"7,190","7,209","7,255","6,065","6,129","7,168","8,176","8,148","6,596",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,58.0,",,",Nut,8647,8613,"9,279",9220,"9,348","9,103","8,987","8,815","8,895","8,994","9,809","9,176","9,074",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,59.0,Oil,Mustard,13139,13038,"12,981",12808,"12,739","12,986","12,818","12,694","12,806","12,831","12,817","12,846","12,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,60.0,",,",Soyabeen,7901,7904,"7,944",7877,"7,845","7,793","7,666","7,783","7,788","7,794","7,886","8,159","7,862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,61.0,",,",Pulm,6177,6240,"6,246",6214,"6,078","6,022","6,002","6,065","6,105","6,131","6,258","6,660","6,183",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,62.0,“,Ghee (dalda),8634,8347,"8,550",8025,"8,107","8,370","8,173","7,992","7,972","8,078","8,128","8,149","8,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,63.0,",,",Butter oil,61750,61750,"60,500",56750,"52,350","60,500","51,135","63,167","62,000","61,750","60,000","60,000","59,304",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,64.0,",,",Coconut,22332,21808,"22,209",22592,"22,581","22,660","22,796","22,550","22,407","22,480","22,269","22,699","22,449",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
